507	-0.097675	0.441830	0.538903	0.292134	
198	0.597306	0.125993	0.307263	0.365767	
344	0.228343	0.255211	0.403583	0.533313	
345	0.351743	0.354961	0.446381	0.364506	
346	0.566624	0.688121	-0.037861	0.202051	
347	0.434183	0.703730	0.290434	0.016976	
340	0.559970	0.324891	-0.067895	0.351387	
341	-0.143802	0.295710	0.578784	0.335893	
342	-0.006695	0.284331	0.376657	0.747791	
343	0.592185	0.163045	0.240515	0.428390	
810	0.192838	0.300092	0.486293	0.416427	
811	-0.013948	0.304297	0.626719	0.277141	
812	-0.063331	0.568820	0.368763	0.257232	
813	-0.067458	0.542420	0.579492	0.205389	
348	0.219008	0.604806	0.490184	-0.009188	
349	0.127449	0.345412	0.500375	0.343144	
816	0.070424	0.385177	0.368420	0.461424	
817	0.080829	0.358742	0.347330	0.444548	
719	0.358692	0.487467	0.115020	0.516203	
718	0.229716	0.147135	0.818020	0.072753	
717	-0.175725	0.404892	0.525620	0.537709	
716	0.767138	-0.129818	0.063360	0.558422	
715	0.624301	0.456598	0.330888	-0.061238	
714	0.155465	0.471259	0.447998	0.215812	
713	0.062835	0.143082	0.651288	0.391169	
712	0.922342	0.346290	-0.147685	0.072506	
711	0.667400	0.108699	0.239491	0.374693	
710	0.205577	0.401179	0.414043	0.430835	
915	0.124425	0.299482	0.573909	0.360065	
914	0.422784	0.272113	0.089589	0.422447	
606	0.414539	0.447382	0.283754	0.335224	
917	-0.024590	0.285640	0.546936	0.397390	
916	0.607710	0.472574	0.137632	0.320200	
911	0.561314	0.358524	-0.205489	0.554900	
619	0.340117	0.556680	0.226581	0.291288	
910	0.196610	0.319048	0.387435	0.502469	
913	0.230866	0.336342	0.105646	0.685230	
298	0.447453	0.161255	0.231243	0.505909	
299	0.411816	0.023063	0.366841	0.638357	
296	0.165851	-0.031037	0.607190	0.629830	
297	0.551121	0.147550	0.498318	0.267704	
294	-0.166050	0.474329	0.729350	0.201022	
295	0.823391	0.293193	-0.134023	0.250072	
292	0.112761	0.316248	0.280309	0.719268	
293	0.605732	0.323901	0.274911	0.310777	
290	0.550554	0.392185	0.067207	0.333690	
291	0.697721	0.714330	0.058511	-0.136016	
591	0.526689	0.042109	0.372901	0.409990	
590	0.032935	0.253122	0.470190	0.570761	
593	0.553405	0.229967	0.429985	0.284013	
592	-0.048010	0.480556	0.591139	0.462656	
595	-0.058136	0.673190	0.649375	-0.082178	
594	0.215822	0.222129	0.607593	0.274980	
597	-0.245082	0.506604	0.520979	0.414719	
596	0.063103	0.522851	0.301623	0.517263	
195	0.501879	0.380741	0.317979	0.233044	
